Consulta 1: 
"año","mes","atenciones_perdidas"
"2024","1","58"
"2024","2","54"
"2024","3","42"
"2024","4","52"
"2024","5","51"
"2024","6","41"
"2024","7","54"
"2024","8","54"
"2024","9","59"
"2024","10","63"
"2024","11","42"
"2024","12","51"
"2025","1","51"
"2025","2","53"
"2025","3","55"
"2025","4","36"
"2025","5","56"
"2025","6","49"
"2025","7","52"
"2025","8","39"

Consulta 2:
"ID","Nombres","Apellidos","cuenta"
418,"Isabel","González","16"
982,"Isabel Luis","Contreras","14"
2371,"Pedro","López","14"
1878,"Ana","Espinoza Muñoz","14"
2881,"Juan José","Fuentes","14"
1200,"Lucía","Fuentes Morales","14"
2056,"Antonio","Soto","13"
1718,"Diego","Soto Díaz","13"
950,"Juan","Sepúlveda Soto","13"
179,"Marta","Rodríguez Torres","13"
2810,"Javier","Araya Soto","13"
2116,"Marta Luis","Fuentes Pérez","13"
405,"Ana","Fuentes Torres","12"
367,"Marta","Valenzuela","12"
2184,"Juan Laura","Sepúlveda","12"
347,"José","Soto Araya","12"
1049,"Lucía Andrés","Torres Valenzuela","12"
2405,"Antonio","Soto Muñoz","12"
1414,"María","Muñoz Soto","12"
633,"Antonio","Valenzuela Flores","12"
1783,"Andrés","Araya Sepúlveda","12"
2411,"Ana","Espinoza Torres","12"
2202,"Francisco","Rojas Martínez","11"
2254,"Ana","Fuentes Muñoz","11"
796,"Pedro","López","11"
1395,"Paula Sofía","Sepúlveda","11"
2135,"Laura","Flores Espinoza","11"
618,"María","Soto Valenzuela","11"
1478,"Paula","Martínez Torres","11"
1728,"Ana Daniel","Pérez Muñoz","11"
913,"Ana María","Valenzuela Silva","11"
548,"Paula Marta","Torres Contreras","11"
2240,"Javier","Soto Contreras","11"
451,"Laura","Araya Rodríguez","11"
2113,"Andrés Antonio","Soto Muñoz","11"
833,"Laura","Martínez Martínez","11"
390,"Andrés","Espinoza","11"

Consulta 3:
"ID","Nombres","Apellidos","cuenta"
943,"José Andrés","Silva","3"
1673,"Ana Paula","López Rojas","3"
1707,"Ana Isabel","Díaz Muñoz","3"
1557,"Ana","Silva","3"
1943,"Juan","López","3"
2326,"María","Martínez Martínez","3"
2090,"Luis Javier","Rojas Araya","3"
300,"Paula","Torres Araya","3"
2299,"Ana Pedro","González","3"
418,"Isabel","González","3"
983,"Lucía","Rojas Fuentes","3"
239,"Andrés","Díaz Torres","2"
978,"Miguel Pedro","Contreras Valenzuela","2"
2220,"Diego","Hernández Valenzuela","2"
1143,"Isabel","Morales Muñoz","2"
2597,"Laura","Fuentes","2"
2731,"Ana Ana","Morales Hernández","2"
1761,"Juan","Fuentes Pérez","2"
15,"Lucía","Torres Sepúlveda","2"
2461,"Daniel","Pérez Soto","2"
518,"Lucía","Pérez Martínez","2"
1268,"María","Torres","2"
682,"Javier Francisco","Fuentes Espinoza","2"
2247,"Marta Lucía","Espinoza Muñoz","2"
674,"Carmen Andrés","González Valenzuela","2"
1284,"Lucía","Torres Sepúlveda","2"
251,"Isabel","Muñoz Rodríguez","2"
1704,"Paula","Rodríguez Rojas","2"
65,"Daniel","Díaz Torres","2"
171,"Diego","Rojas López","2"
2496,"Antonio","Díaz Flores","2"
2451,"Laura","Díaz Flores","2"
1508,"Isabel Pedro","Rodríguez Hernández","2"
693,"Laura","Sepúlveda Rojas","2"
2349,"Pedro Daniel","Flores","2"
940,"Antonio","Rojas Flores","2"
2067,"Carmen","González Silva","2"
888,"Andrés","Fuentes Sepúlveda","2"
2215,"Miguel","Rojas Contreras","2"
355,"Antonio","Fuentes","2"
2858,"Javier","Rodríguez Hernández","2"
269,"Juan","Contreras Flores","2"
358,"Javier","Pérez Fuentes","2"
2026,"Isabel Juan","Espinoza","2"
1636,"Carmen","Contreras Díaz","2"
1369,"Antonio","Contreras Pérez","2"
970,"Ana","Araya Hernández","2"
2434,"Andrés","Contreras","2"
2172,"Francisco","Pérez","2"
1785,"Luis","Sepúlveda Muñoz","2"
2930,"Ana","Sepúlveda Martínez","2"
837,"Francisco Lucía","Torres","2"
2657,"Marta Daniel","Contreras","2"
1832,"Sofía Ana","Rojas Pérez","2"
535,"Daniel","Rojas Silva","2"
642,"Carmen","Contreras Espinoza","2"
294,"Diego","Contreras Contreras","2"
1629,"Javier","Araya","2"
771,"Carmen Daniel","Hernández Valenzuela","2"
664,"Daniel","Soto González","2"
746,"Luis","Silva Pérez","2"
1469,"Isabel","Araya Muñoz","2"
506,"Carmen","Sepúlveda Espinoza","2"
2615,"Javier","Morales","2"
2644,"Francisco Ana","Rodríguez Espinoza","2"
806,"Diego","López","2"
1898,"Laura Juan","Díaz Sepúlveda","2"
331,"Isabel","Martínez Martínez","2"
913,"Ana María","Valenzuela Silva","2"
2891,"Javier","Espinoza Fuentes","2"
2906,"Diego","Valenzuela Valenzuela","2"
2867,"Francisco","Torres","2"
1930,"Laura","López López","2"
2277,"Antonio","Muñoz","2"
1397,"María","Díaz Espinoza","2"
2566,"Pedro","Silva Sepúlveda","2"
13,"Diego","López","2"
160,"María","Morales Valenzuela","2"
2500,"Diego","González Sepúlveda","2"
945,"José Marta","Soto Pérez","2"
2568,"Daniel","Morales Torres","2"
1951,"Ana","Silva","2"
1617,"Ana","Díaz","2"
2929,"Marta","Espinoza Espinoza","2"
1325,"Paula Pedro","Soto González","2"
1133,"Pedro","Valenzuela López","2"
2156,"María Antonio","Rojas Rojas","2"
1997,"Ana José","Flores","2"
818,"Isabel José","Fuentes Morales","2"
446,"Lucía","Martínez","2"
2034,"Francisco","Flores","2"
2616,"María","Valenzuela","2"
2492,"Andrés Andrés","Morales Rodríguez","2"
1036,"Miguel","Fuentes Torres","2"
1035,"Juan Antonio","Valenzuela","2"
1073,"Miguel","Araya Rodríguez","2"
588,"José","Díaz Flores","2"
922,"Pedro Diego","Díaz","2"
374,"Daniel","Fuentes","2"
1303,"Isabel","Muñoz Silva","2"
247,"Pedro Francisco","Hernández Espinoza","2"
1396,"Pedro","Pérez Flores","2"
735,"Juan","Hernández","2"
2672,"Francisco Miguel","Silva Díaz","2"
965,"Marta","Araya Valenzuela","2"
1532,"Laura","Hernández","2"
2579,"Daniel","Torres","2"
1906,"Francisco","Valenzuela Araya","2"
1718,"Diego","Soto Díaz","2"
1548,"José","Flores","2"
198,"Isabel","Díaz Muñoz","2"
1584,"Laura","Fuentes Torres","2"
1116,"María","Araya Contreras","2"
634,"Miguel","Torres Rodríguez","2"
207,"Juan","Fuentes Valenzuela","2"
654,"Pedro Isabel","Torres Muñoz","2"
2801,"Juan Andrés","Díaz Espinoza","2"
2913,"Miguel","Díaz Rojas","2"
1812,"Daniel Paula","Silva Flores","2"
1860,"Andrés","Contreras López","2"
324,"Sofía","Soto","2"
2770,"Lucía","López","2"
1349,"María","Pérez Silva","2"
2836,"Paula","Rojas Espinoza","2"
276,"Miguel Luis","Araya Valenzuela","2"
2964,"Pedro","Contreras Araya","2"
2254,"Ana","Fuentes Muñoz","2"
2466,"Paula","Flores","2"
955,"Isabel","Pérez","2"
1904,"Isabel","González González","2"
1103,"Carmen","Rojas","2"
2123,"Laura","Pérez Espinoza","2"
