ID;RUN;Nombre;Apellidos;Dirección;Correo Electrónico;Teléfono;tipo;titular;rol;profesión;especialidad;firma;institucion previsional de salud;
486;6211877-9;Isabel Marta;Pérez;Av. Libertador Bernardo O'Higgins 4763;isabel.pérez@mailficticio.cl;920396453;;;paciente;;;;;
2014;643112-7;Luis Andrés;Valenzuela Muñoz;Av. Grecia 590;luis.valenzuela@correoexample;984713147;beneficiario;574812-7;;;;;Cruz pal cielo Ltda.;
2721;370730-K;José Francisco;Soto Martínez;Av. Apoquindo 7654;josé.soto@@mailficticio.cl;960433091;beneficiario;185974-9;paciente;;;;Menos vida S.A.;
4;296405-8;Javier;Soto;Av. Grecia 1856;javier.soto@correoexample.com;987322473;titular;296405-8;Staff médico;TENSS;;;Menos vida S.A.;
26;944667-2;Laura;Rodríguez;Av. Matta 9783;laura.rodríguez@correoexample.com;935934393;titular;944667-2;Staff médico, paciente;kinesiólogo/a;;;Cruz de Malta S.A.;
40;961392-7;Diego;Morales López;Av. Libertador Bernardo O'Higgins 9471;diego.morales@correoexample.com;952309557;titular;961392-7;Staff médico, paciente;kinesiólogo/a;;;FONASA;
42;869056-1;Carmen;Soto Sepúlveda;Av. Tobalaba 10705;carmen.soto@correoexample.com;902414300;titular;869056-1;Staff médico;kinesiólogo/a;;;Salud Ltda.;
47;304331-2;Antonio;Sepúlveda Rojas;Av. Pajaritos 10440;antonio.sepúlveda@mailficticio.cl;997993588;titular;304331-2;Staff médico;kinesiólogo/a;;;Salud Ltda.;
62;737881-5;Daniel Antonio;Díaz Rodríguez;Av. Tobalaba 11956;daniel.díaz@dominiofake.net;924268976;titular;737881-5;Staff médico, paciente;medico(a);Dermatología;./firma/62;Fundación e imperio;
71;655490-3;José;Sepúlveda;Av. Manuel Montt 11701;josé.sepúlveda@correoexample.com;939928966;titular;655490-3;Staff médico;kinesiólogo/a;;;Colmena de avispas S.A.;
82;139801-6;Paula;Muñoz Díaz;Av. Matta 8785;paula.muñoz@prueba.org;927506816;titular;139801-6;Staff médico, paciente;medico(a);Otorrinolaringología;./firma/82;Colmena de avispas S.A.;
104;643071-6;Paula Pedro;Silva;Av. Apoquindo 2241;paula.silva@mailficticio.cl;955606424;titular;643071-6;Staff médico;kinesiólogo/a;;;Salud Ltda.;
121;106211-5;Paula;Espinoza;Av. Independencia 10996;paula.espinoza@correoexample.com;923625699;titular;106211-5;Staff médico, paciente;kinesiólogo/a;;;Fundación e imperio;
129;531157-8;Francisco María;Araya;Av. Matta 6555;francisco.araya@dominiofake.net;991681549;titular;531157-8;Staff médico, paciente;kinesiólogo/a;;;Vida uno S.A.;
138;720877-4;Carmen;Flores Sepúlveda;Av. Apoquindo 6522;carmen.flores@dominiofake.net;945443755;titular;720877-4;Staff médico, paciente;kinesiólogo/a;;;sinsalud S.A.;
150;426833-4;María;Fuentes;Av. Providencia 9226;maría.fuentes@correoexample.com;953048491;titular;426833-4;Staff médico, paciente;kinesiólogo/a;;;Fundación e imperio;
153;335232-3;Antonio Marta;Rojas Hernández;Av. Manuel Montt 4829;antonio.rojas@correoexample.com;916231311;titular;335232-3;Staff médico, paciente;medico(a);Geriatría;./firma/153;sinsalud S.A.;
154;846987-3;Andrés;Araya Hernández;Av. Los Leones 4243;andrés.araya@correoexample.com;977289624;titular;846987-3;Staff médico;kinesiólogo/a;;;sinsalud S.A.;
155;168356-K;Antonio Miguel;Rodríguez Díaz;Av. Libertador Bernardo O'Higgins 9839;antonio.rodríguez@mailficticio.cl;996290944;titular;168356-K;Staff médico;kinesiólogo/a;;;Colmena de avispas S.A.;
160;311081-8;María;Morales Valenzuela;Av. Los Leones 11106;maría.morales@mailficticio.cl;996750106;titular;311081-8;Staff médico, paciente;medico(a);Infectología;./firma/160;Vida uno S.A.;
179;687581-5;Marta;Rodríguez Torres;Av. Independencia 382;marta.rodríguez@prueba.org;909778390;titular;687581-5;Staff médico;medico(a);Obstetricia y Ginecología;./firma/179;FONASA;
214;662432-4;Carmen;Sepúlveda Silva;Av. Pajaritos 447;carmen.sepúlveda@mailficticio.cl;947709083;titular;662432-4;Staff médico, paciente;medico(a);Inmunología;./firma/214;Colmena de avispas S.A.;
233;933098-4;María;Hernández Soto;Av. Grecia 1467;maría.hernández@mailficticio.cl;928845511;titular;933098-4;Staff médico;medico(a);Obstetricia y Ginecología;./firma/233;Colmena de avispas S.A.;
244;998873-4;Luis;Rojas Contreras;Av. Grecia 2716;luis.rojas@correoexample.com;955331668;titular;998873-4;Staff médico, paciente;kinesiólogo/a;;;Colmena de avispas S.A.;
252;884360-0;José Juan;Rojas Díaz;Av. Grecia 2260;josé.rojas@correoexample.com;988794005;titular;884360-0;Staff médico, paciente;kinesiólogo/a;;;Menos vida S.A.;
257;334196-8;Paula Daniel;Rojas Hernández;Av. Manuel Montt 9133;paula.rojas@dominiofake.net;999859770;titular;334196-8;Staff médico, paciente;medico(a);Neurocirugía;./firma/257;FONASA;
275;297534-3;Lucía;Contreras Silva;Av. La Florida 1502;lucía.contreras@mailficticio.cl;907313161;titular;297534-3;Staff médico, paciente;medico(a);Medicina Interna;./firma/275;Colmena de avispas S.A.;
281;469447-3;Carmen Paula;Rojas Pérez;Av. La Florida 10728;carmen.rojas@correoexample.com;964743899;titular;469447-3;Staff médico;kinesiólogo/a;;;FONASA;
333;264451-7;Sofía;González Rojas;Av. La Florida 2657;sofía.gonzález@prueba.org;947981173;titular;264451-7;Staff médico, paciente;kinesiólogo/a;;;FONASA;
347;885826-8;José;Soto Araya;Av. Libertador Bernardo O'Higgins 557;josé.soto@prueba.org;933914563;titular;885826-8;Staff médico, paciente;medico(a);Enfermedades Respiratorias Adulto;./firma/347;Vida uno S.A.;
352;143049-1;Juan;Morales;Av. Matta 2286;juan.morales@prueba.org;928324687;titular;143049-1;Staff médico, paciente;medico(a);Diabetología;./firma/352;Colmena de avispas S.A.;
367;200219-1;Marta;Valenzuela;Av. Independencia 10473;marta.valenzuela@correoexample.com;947568412;titular;200219-1;Staff médico;medico(a);Medicina Física y Rehabilitación;./firma/367;Menos vida S.A.;
369;164857-8;Paula;Díaz Soto;Av. Grecia 1677;paula.díaz@prueba.org;908407595;titular;164857-8;Staff médico;kinesiólogo/a;;;Medibanc S.A.;
390;546549-4;Andrés;Espinoza;Av. Matta 5716;andrés.espinoza@dominiofake.net;925846452;titular;546549-4;Staff médico, paciente;medico(a);Medicina Interna;./firma/390;Vida uno S.A.;
397;529798-2;Pedro;González Silva;Av. Apoquindo 8297;pedro.gonzález@dominiofake.net;963913133;titular;529798-2;Staff médico, paciente;kinesiólogo/a;;;Salud Ltda.;
402;954073-3;Juan;Rojas Fuentes;Av. Independencia 91;juan.rojas@correoexample.com;913930522;titular;954073-3;Staff médico;medico(a);Diabetología;./firma/402;Vida uno S.A.;
405;497332-1;Ana;Fuentes Torres;Av. Tobalaba 4279;ana.fuentes@prueba.org;911750281;titular;497332-1;Staff médico;medico(a);Dermatología;./firma/405;Fundación e imperio;
407;930475-4;Lucía;Fuentes;Av. Providencia 1944;lucía.fuentes@mailficticio.cl;906364299;titular;930475-4;Staff médico;kinesiólogo/a;;;Cruz pal cielo Ltda.;
417;715286-8;Miguel Pedro;Martínez Sepúlveda;Av. Pajaritos 9373;miguel.martínez@prueba.org;906351577;titular;715286-8;Staff médico;kinesiólogo/a;;;Colmena de avispas S.A.;
418;259736-5;Isabel;González;Av. Apoquindo 3011;isabel.gonzález@prueba.org;934959197;titular;259736-5;Staff médico, paciente;medico(a);Medicina Familiar;./firma/418;sinsalud S.A.;
422;941989-6;Ana Francisco;Flores Rojas;Av. Libertador Bernardo O'Higgins 4606;ana.flores@mailficticio.cl;949086844;titular;941989-6;Staff médico, paciente;medico(a);Gastroenterología Adulto;./firma/422;especial S.A.;
425;816146-1;Laura Pedro;Torres Fuentes;Av. Grecia 10433;laura.torres@correoexample.com;945583300;titular;816146-1;Staff médico, paciente;kinesiólogo/a;;;Cruz pal cielo Ltda.;
435;951403-1;Juan;Fuentes;Av. Pajaritos 2262;juan.fuentes@prueba.org;969834127;titular;951403-1;Staff médico, paciente;kinesiólogo/a;;;Cruz pal cielo Ltda.;
437;315077-1;Juan José;Contreras;Av. Apoquindo 3684;juan.contreras@correoexample.com;951853654;titular;315077-1;Staff médico;kinesiólogo/a;;;sinsalud S.A.;
451;697643-3;Laura;Araya Rodríguez;Av. Independencia 10691;laura.araya@dominiofake.net;961270594;titular;697643-3;Staff médico;medico(a);Traumatología y Ortopedia;./firma/451;Cruz de Malta S.A.;
479;790709-5;Juan;Valenzuela;Av. Libertador Bernardo O'Higgins 2573;juan.valenzuela@mailficticio.cl;927106820;titular;790709-5;Staff médico, paciente;kinesiólogo/a;;;Fundación e imperio;
501;659922-2;Francisco Diego;Sepúlveda;Av. Independencia 9938;francisco.sepúlveda@mailficticio.cl;938837814;titular;659922-2;Staff médico, paciente;kinesiólogo/a;;;Colmena de avispas S.A.;
512;834966-5;Andrés Luis;Torres;Av. Vicuña Mackenna 145;andrés.torres@mailficticio.cl;947676423;titular;834966-5;Staff médico;medico(a);Neurología Adultos;./firma/512;Cruz de Malta S.A.;
520;543323-1;Juan;Martínez Flores;Av. Apoquindo 11882;juan.martínez@mailficticio.cl;928267429;titular;543323-1;Staff médico;kinesiólogo/a;;;Cruz pal cielo Ltda.;
548;751147-7;Paula Marta;Torres Contreras;Av. Macul 3406;paula.torres@prueba.org;987692258;titular;751147-7;Staff médico;medico(a);Infectología;./firma/548;especial S.A.;
566;227165-6;Juan José;Silva;Av. Tobalaba 8016;juan.silva@correoexample.com;954997802;titular;227165-6;Staff médico, paciente;medico(a);Traumatología y Ortopedia;./firma/566;Vida uno S.A.;
581;789833-9;Javier;González Martínez;Av. Irarrazabal 3446;javier.gonzález@dominiofake.net;934420719;titular;789833-9;Staff médico, paciente;kinesiólogo/a;;;Cruz pal cielo Ltda.;
586;744660-8;Javier;López Morales;Av. Macul 10930;javier.lópez@dominiofake.net;989660351;titular;744660-8;Staff médico;medico(a);Reumatología;./firma/586;Medibanc S.A.;
596;425302-7;Marta;Hernández Muñoz;Av. Irarrazabal 11959;marta.hernández@mailficticio.cl;977112133;titular;425302-7;Staff médico;medico(a);Genética Clínica;./firma/596;Vida uno S.A.;
608;141620-0;Lucía Juan;Flores;Av. Pajaritos 3798;lucía.flores@mailficticio.cl;916403708;titular;141620-0;Staff médico;kinesiólogo/a;;;Vida uno S.A.;
618;194542-4;María;Soto Valenzuela;Av. Los Leones 2920;maría.soto@correoexample.com;918689020;titular;194542-4;Staff médico;medico(a);Oncología Médica;./firma/618;Colmena de avispas S.A.;
633;413016-2;Antonio;Valenzuela Flores;Av. Recoleta 2904;antonio.valenzuela@correoexample.com;983831643;titular;413016-2;Staff médico, paciente;medico(a);Medicina Familiar;./firma/633;Cruz de Malta S.A.;
640;142896-9;José;Muñoz Hernández;Av. Apoquindo 6574;josé.muñoz@dominiofake.net;936129098;titular;142896-9;Staff médico;kinesiólogo/a;;;Menos vida S.A.;
652;117613-7;Pedro;Hernández;Av. La Florida 538;pedro.hernández@mailficticio.cl;924977874;titular;117613-7;Staff médico;medico(a);Dermatología;./firma/652;Fundación e imperio;
654;703120-3;Pedro Isabel;Torres Muñoz;Av. Tobalaba 8264;pedro.torres@prueba.org;994308317;titular;703120-3;Staff médico, paciente;kinesiólogo/a;;;Medibanc S.A.;
655;561776-6;Sofía;Flores;Av. Vicuña Mackenna 2775;sofía.flores@prueba.org;998592987;titular;561776-6;Staff médico;kinesiólogo/a;;;sinsalud S.A.;
656;947422-6;Miguel;Contreras Martínez;Av. Tobalaba 9844;miguel.contreras@dominiofake.net;911143963;titular;947422-6;Staff médico;kinesiólogo/a;;;Medibanc S.A.;
667;297883-0;Isabel José;Rojas;Av. Irarrazabal 11043;isabel.rojas@prueba.org;917071328;titular;297883-0;Staff médico, paciente;medico(a);Hematología;./firma/667;Cruz pal cielo Ltda.;
670;170238-6;Carmen;Fuentes;Av. Tobalaba 4941;carmen.fuentes@correoexample.com;985052177;titular;170238-6;Staff médico, paciente;kinesiólogo/a;;;FONASA;
728;322823-1;Isabel;Contreras;Av. Matta 7756;isabel.contreras@mailficticio.cl;919744141;titular;322823-1;Staff médico, paciente;medico(a);Medicina Familiar;./firma/728;Salud Ltda.;
734;681911-7;Javier;Martínez Espinoza;Av. Apoquindo 8964;javier.martínez@correoexample.com;951167633;titular;681911-7;Staff médico, paciente;kinesiólogo/a;;;Menos vida S.A.;
794;100996-6;Andrés Pedro;Soto Hernández;Av. Pajaritos 9540;andrés.soto@prueba.org;996896268;titular;100996-6;Staff médico, paciente;kinesiólogo/a;;;FONASA;
796;174069-5;Pedro;López;Av. Los Leones 9843;pedro.lópez@dominiofake.net;932732431;titular;174069-5;Staff médico;medico(a);Psiquiatría Adultos;./firma/796;Cruz de Malta S.A.;
814;183019-8;Antonio;López Hernández;Av. Providencia 11701;antonio.lópez@correoexample.com;989125435;titular;183019-8;Staff médico;kinesiólogo/a;;;FONASA;
833;581941-5;Laura;Martínez Martínez;Av. Libertador Bernardo O'Higgins 11842;laura.martínez@mailficticio.cl;989185327;titular;581941-5;Staff médico, paciente;medico(a);Reumatología;./firma/833;sinsalud S.A.;
853;423987-3;Antonio Isabel;Rodríguez Morales;Av. Pajaritos 7101;antonio.rodríguez@mailficticio.cl;902973789;titular;423987-3;Staff médico;kinesiólogo/a;;;Vida uno S.A.;
